Unnamed: 0,id,role,type,job_desc,year,qualification,experience,tech_skills,soft_skills
0,1,AI Engineer,Internship,"Final year students / recent graduates in CS, AI, Data Science, or related fields
Strong Python programming skills
Understanding of Machine Learning / Deep Learning fundamentals
Exposure to LangChain, Hugging Face, OpenAI APIs, or similar tools
Curiosity, ownership mindset, and willingness to learn fast
Strong problem-solving skills",2026,Bachelors,0,"Python, ML, LangChain, Hugging Face, OpenAI API","Communication, Problem Solving"
1,2,AI Engineer,Internship,"Proficiency in Python and comfort working with APIs (REST, JSON, authentication).
Working understanding of Large Language Models (LLMs) and prompt engineering - gained through coursework, online learning, personal projects, hackathons, or open-source contributions.
Familiarity with at least one agent or LLM framework (e.g., LangChain, LlamaIndex, LangGraph, CrewAI, AutoGen, the Anthropic /OpenAI SDKs, or the Model Context Protocol).
Strong problem-solving skills and the ability to break ambiguous business problems into structured, automatable steps.
Excellent communication skills and ability to work collaboratively with others.
Experience with vector databases and Retrieval-Augmented Generation (RAG), Exposure to tool use / function calling, multi-agent orchestration, or workflow automation tools (e.g., n8n, Zapier), SQL and PowerBI, Awareness of evaluation, guardrails, or safety practices for LLM applications are good to have. B Tech / B.E. in Computer Science, Information Technology, or a similar field. Candidates from other engineering or science backgrounds with demonstrated hands-on experience building with LLMs or AI agents are also encouraged to apply.",2026,Bachelors,0,"Python, APIs, LLMs, Prompt Engineering, LangChain, LangGraph, CrewAI, AutoGen, MCP, VectorDB, n8n, RAG","Communication, Problem Solving"
2,3,AI Engineer,Internship,"Strong interest in AI and a willingness to learn and explore GenAI tools and frameworks.
Programming skills in languages such as Python, JavaScript (React, Angular, Express.js, Node.js, NextJS), or similar.
Front-end and Back-end engineers are welcome; Full-Stack developers are preferred.
Excellent problem-solving skills and ability to work in a collaborative environment.
Strong communication skills, both written and verbal.
Frontend: Ability to use asynchronous API calls in React via fetch or axios to make HTTP requests to an LLM API endpoint.
Frontend: Ability to consider user interactions when interacting with a model and guide users accordingly
Backend - Understanding of machine learning concepts and frameworks (e.g., TensorFlow, PyTorch).
Backend/Frontend - API integration - Familiarity with REST, GraphQL, or gRPC.
Data Scientist = Familiarity with data pipelines: Ingestion, Cleaning/preprocessing, Transformation/Feature Engineering, Model Training/Evaluation, Model Deploying/Serving and Monitoring/Maintenance",2026,Bachelors,0,"Python, Javascript, React, Full Stack, APIs, ML, TesnorFlow/Pytorch, Ingestion, Data Cleaning, Feature Engineering, Model Training, Model Evaluation, Model Deploying, Model Maintenance, GenAI","Communication, Problem Solving"
3,4,AI Engineer,Senior,"6+ years full-stack software engineering experience building scalable web applications, services, and APIs
Proficiency in JavaScript/TypeScript and/or Python, and comfort working across the stack including frontend development (React or similar frameworks)
Experience building backend systems, working with various datastores such as (Postgres/pgvector, Pinecone, Redis) and designing APIs.
Demonstrated curiosity and hands-on experience with AI tools and applications - using modern AI models, agentic IDEs, or building AI-enabled workflows or prototypes.
Experience building or experimenting with custom developed agentic systems, workflow orchestration tools (n8n), or Agentic browser automation
A high degree of ownership and initiative, with the ability to operate independently in ambiguous problem spaces
Excellent communication skills, with the ability to explain complex technical concepts to both technical and non-technical audiences
Experience collaborating cross-functionally and building trust with stakeholders at all levels of the organization
Direct experience integrating automated AI Evaluation/Testing/Observability suites to continuously test model effectiveness leveraging platforms such as DeepEval, Langfuse/LangSmith or similar 
",2026,Not Specified,5-10,"Python, Javascript, React, Full Stack, SQL, APIs, ML, TesnorFlow/PyTorch, n8n","Communication, Problem Solving"
4,5,AI Engineer,Junior,"AI/ML models, Python, Core ML concepts, ML framework (Scikit‑learn/TensorFlow/PyTorch), MLOps, SQL/NoSQL, Messaging/queue systems 
0–1 year of experience as an AI/ML Engineer, Data Scientist, or similar role, or strong academic/personal projects in AI/ML.
Bachelor’s degree in Computer Science, Engineering, Data Science, Mathematics, or equivalent practical experience.
Solid Python skills for data processing and model development.
Understanding of core ML concepts: supervised/unsupervised learning, evaluation metrics, overfitting, etc.
Experience with at least one ML framework (e.g., scikit‑learn, TensorFlow, or PyTorch).
Ability to work with databases (SQL/NoSQL) and basic messaging/queue systems to move data in and out of models.
Strong problem‑solving mindset, eagerness to learn, and comfort working in a fast‑moving environment.
Good communication skills and willingness to collaborate in a team and with non‑technical stakeholders.",2026,Bachelors,0-1,"Python, ML, TensorFlow/PyTorch, Scikit-Learn, MLOps, Model Training, Feature Engineering","Communication, Problem Solving"
5,6,AI Engineer,Junior,"4–5 years of proven development experience in AI/ML for embedded device
Strong expertise in deep learning frameworks (TensorFlow, PyTorch, ONNX, TensorRT).
Expert proficiency with open-source infrastructure tools like llama.cpp, vLLM, Ollama, and NVIDIA Triton Inference Server for local model serving, high-throughput inference, and quantization.
Hands-on experience building complex, stateful workflows and tracking applications using LangChain, LangGraph, and Langfuse.
Expertise in selecting, benchmarking, and adapting state-of-the-art open-source architectures (such as Llama 3, gemma, Qwen, and Kimi) for enterprise tasks
Practical experience with edge/embedded AI (NVIDIA Jetson, Qualcomm, ARM).
Proficiency in NLP / Conversational AI / Speech interfaces ( ASR, TTS )
Solid programming skills in Python and C++/Java for optimization and integration.
Solid understanding of application development in embedded Linux / Android
Familiarity with automotive standards, protocols such as CAN
Familiarity with cloud ML services like AWS SageMaker or Azure ML
Good communication skills and great team spirit.
Experience working with embedded Linux, Automotive Android
Knowledge of vehicle data interfaces (CAN, OBD-II, sensors).
Exposure to LLMOps & MLOps pipelines and cloud platforms (AWS/GCP/Azure).
",2026,Bachelors,5-10,"Python, C++, Java, TensorFlow/PyTorch, vLLM, Ollama, LangChain, LangGraph, NLP, AWS/Azure, MLOps","Communication, Problem Solving"
6,7,AI Engineer,Senior,"5-10 years overall experience
3+ years of hands-on Power BI enterprise delivery
2+ years of SAP BusinessObjects migration experience (or equivalent BI migration)
SAP BusinessObjects: Universes (UNV/UNX), WebI, contexts, prompts, joins, aggregate awareness
Power BI / Fabric: Data modeling, DAX, calculation groups, Tabular Editor, Power BI Service governance
AI & Automation: Azure OpenAI / LLMs, prompt engineering, metadata and document parsing
Strong SQL and data engineering fundamentals.",2026,Not Specified,5-10,"Python, SQL, PowerBI, SAP, LLMs, Prompt Engineering, Data Engineering","Communication, Problem Solving"
7,8,AI Engineer,Junior,"Proficiency in C/C++ and python programming
Hands-on experience in deploying AI models on embedded platforms.
Experience working with MCU, bare-metal, RTOS and Edge AI/ML applications
Experience working with multi-core, multi-threaded applications, IPC and task scheduling
Strong knowledge in board bring-up and interfaces such as OSPI, GPIO, UART, SRAM, SDRAM etc.
Good debugging and problem-solving skills.
Experience in various profiling tools, and proficiency in identifying deviations from expected behaviour and finding their root causes
Ability to use Hardware test equipment: Joulescope, oscilloscope, logic analyzer and JTAG
Understanding of system constraints like memory, compute, and power on edge devices.
Good communication skills for clearly communicating ideas and concepts to team/customer",2026,Bachelors,0-1,"Python, C, C++, Sytem Design, Model Evaluation","Communication, Problem Solving"
8,9,AI Engineer,Internship,"Python
Machine Learning Fundamentals
Large Language Models (LLMs)
Prompt Engineering
APIs & Integrations
OpenAI APIs
LangChain
RAG Systems
Vector Databases
Hugging Face
TensorFlow
PyTorch",2026,Bachelors,0,"Python, ML, LLMs, Prompt Engineering, APIs, LangChain, RAG, VectorDB, Hugging Face, TensorFlow/PyTorch","Communication, Problem Solving"
9,10,AI Engineer,Internship,"Solid understanding of LLMs, tokenization, transformers.
Python programming (Pandas, NumPy, Hugging Face, LangChain, etc.).
Exposure to AWS services like EC2, Lambda, S3, or SageMaker.
Eagerness to explore real-world AI use cases (agents, copilots, RAG).
Basic ML knowledge and hands-on project experience.
Experience with serverless deployments on AWS.
Familiarity with monitoring and logging (e.g., CloudWatch, OpenTelemetry).
Contributions to open-source AI tools or model",2026,Bachelors,0,"Python, Pandas, NumPyHugging Face, LangChain, AWS, Agents, RAG","Communication, Problem Solving"
